MODEL_ID,POPULATION_ID,OBSERVATION_ID,SCORE
eltm-pop-1,3,62,0.036638644
eltm-pop-1,3,63,0.31007615
eltm-pop-1,3,64,0.008496791
eltm-pop-1,3,65,0.16583808
eltm-pop-1,3,66,0.011570099
eltm-pop-1,3,67,0.16583808
eltm-pop-1,3,68,0.011570099
eltm-pop-1,3,69,0.16583808
eltm-pop-1,3,70,0.12698357
eltm-pop-1,3,71,0.10631182
eltm-pop-1,3,72,0.16583808
eltm-pop-1,3,73,0.12178734
eltm-pop-1,3,74,0.16583808
eltm-pop-1,3,75,0.16583808
eltm-pop-1,3,76,0.036638644
eltm-pop-1,3,77,0.008496791
eltm-pop-1,3,78,0.12698357
eltm-pop-1,3,79,0.16583808
eltm-pop-1,3,80,0.036638644
eltm-pop-1,3,81,0.12698357
eltm-pop-1,3,82,0.12698357
eltm-pop-1,3,83,0.12178734
eltm-pop-1,3,84,0.12178734
eltm-pop-1,3,85,0.16583808
eltm-pop-1,3,86,0.036638644
eltm-pop-1,3,87,0.026906505
eltm-pop-1,3,88,0.16583808
eltm-pop-1,3,89,0.036638644
eltm-pop-1,3,90,0.12178734
eltm-pop-1,3,91,0.16583808
eltm-pop-1,3,92,0.12178734
eltm-pop-1,3,93,0.12698357
eltm-pop-1,3,94,0.026906505
eltm-pop-1,3,95,0.036638644
eltm-pop-1,3,96,0.12698357
eltm-pop-1,3,97,0.12698357
eltm-pop-1,3,98,0.16583808
eltm-pop-1,3,99,0.008496791
eltm-pop-1,3,100,0.036638644
eltm-pop-1,3,101,0.011570099
eltm-pop-1,3,102,0.16583808
eltm-pop-1,3,103,0.011570099
eltm-pop-1,3,104,0.31007615
eltm-pop-1,3,105,0.31007615
eltm-pop-1,3,106,0.026906505
eltm-pop-1,3,107,0.31007615
eltm-pop-1,3,108,0.12698357
eltm-pop-1,3,109,0.008496791
eltm-pop-1,3,110,0.026906505
eltm-pop-1,3,111,0.16583808
eltm-pop-1,3,112,0.026906505
eltm-pop-1,3,113,0.011570099
eltm-pop-1,3,114,0.026906505
eltm-pop-1,3,115,0.31007615
eltm-pop-1,3,116,0.16583808
eltm-pop-1,3,117,0.16583808
eltm-pop-1,3,118,0.011570099
eltm-pop-1,3,119,0.011812424
eltm-pop-1,3,120,0.31007615
eltm-pop-1,3,121,0.12178734
eltm-pop-1,3,122,0.16583808
eltm-pop-1,3,123,0.12698357
eltm-pop-1,3,124,0.12178734
eltm-pop-1,3,125,0.12698357
